Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/13/2020 23:07	9	0	0
Louisiana	US	4/13/2020 23:07	101	5	0
Virginia	US	4/13/2020 23:07	15	0	0
Idaho	US	4/13/2020 23:07	517	6	0
Iowa	US	4/13/2020 23:07	1	0	0
Kentucky	US	4/13/2020 23:07	11	0	0
Missouri	US	4/13/2020 23:07	11	0	0
Oklahoma	US	4/13/2020 23:07	27	2	0
Colorado	US	4/13/2020 23:07	693	26	0
Idaho	US	4/13/2020 23:07	1	0	0
Illinois	US	4/13/2020 23:07	26	0	0
Indiana	US	4/13/2020 23:07	5	1	0
Mississippi	US	4/13/2020 23:07	57	1	0
Nebraska	US	4/13/2020 23:07	54	0	0
Ohio	US	4/13/2020 23:07	3	0	0
Pennsylvania	US	4/13/2020 23:07	56	1	0
Washington	US	4/13/2020 23:07	37	0	0
Wisconsin	US	4/13/2020 23:07	3	0	0
Vermont	US	4/13/2020 23:07	56	1	0
South Carolina	US	4/13/2020 23:07	51	1	0
Florida	US	4/13/2020 23:07	187	0	0
North Carolina	US	4/13/2020 23:07	68	0	0
California	US	4/13/2020 23:07	888	23	0
Colorado	US	4/13/2020 23:07	7	2	0
New York	US	4/13/2020 23:07	499	14	0
Wyoming	US	4/13/2020 23:07	5	0	0
Virginia	US	4/13/2020 23:07	49	0	0
Mississippi	US	4/13/2020 23:07	7	0	0
North Carolina	US	4/13/2020 23:07	2	0	0
Virginia	US	4/13/2020 23:07	235	1	0
Oklahoma	US	4/13/2020 23:07	1	0	0
Iowa	US	4/13/2020 23:07	23	1	0
Michigan	US	4/13/2020 23:07	23	0	0
Maryland	US	4/13/2020 23:07	15	0	0
New York	US	4/13/2020 23:07	26	1	0
North Carolina	US	4/13/2020 23:07	2	0	0
Virginia	US	4/13/2020 23:07	4	0	0
Pennsylvania	US	4/13/2020 23:07	876	21	0
Indiana	US	4/13/2020 23:07	156	11	0
Kentucky	US	4/13/2020 23:07	4	0	0
Louisiana	US	4/13/2020 23:07	74	7	0
Ohio	US	4/13/2020 23:07	37	4	0
South Carolina	US	4/13/2020 23:07	5	0	0
Michigan	US	4/13/2020 23:07	1	0	0
California	US	4/13/2020 23:07	2	0	0
California	US	4/13/2020 23:07	7	0	0
Virginia	US	4/13/2020 23:07	9	0	0
Virginia	US	4/13/2020 23:07	10	0	0
Mississippi	US	4/13/2020 23:07	14	1	0
Alaska	US	4/13/2020 23:07	131	4	0
Kansas	US	4/13/2020 23:07	1	0	0
Kentucky	US	4/13/2020 23:07	3	1	0
South Carolina	US	4/13/2020 23:07	109	5	0
Tennessee	US	4/13/2020 23:07	15	1	0
Texas	US	4/13/2020 23:07	3	0	0
Missouri	US	4/13/2020 23:07	1	0	0
Texas	US	4/13/2020 23:07	12	0	0
Maine	US	4/13/2020 23:07	28	0	0
Texas	US	4/13/2020 23:07	16	0	0
Maryland	US	4/13/2020 23:07	724	29	0
Minnesota	US	4/13/2020 23:07	68	0	0
North Carolina	US	4/13/2020 23:07	10	0	0
Nebraska	US	4/13/2020 23:07	1	0	0
Michigan	US	4/13/2020 23:07	8	0	0
Arizona	US	4/13/2020 23:07	89	0	0
Iowa	US	4/13/2020 23:07	1	1	0
Georgia	US	4/13/2020 23:07	11	0	0
Virginia	US	4/13/2020 23:07	7	0	0
Texas	US	4/13/2020 23:07	2	0	0
Colorado	US	4/13/2020 23:07	1142	39	0
Colorado	US	4/13/2020 23:07	6	0	0
Michigan	US	4/13/2020 23:07	5	0	0
Arkansas	US	4/13/2020 23:07	2	0	0
Virginia	US	4/13/2020 23:07	390	2	0
Pennsylvania	US	4/13/2020 23:07	28	1	0
Maine	US	4/13/2020 23:07	2	0	0
Louisiana	US	4/13/2020 23:07	432	24	0
North Carolina	US	4/13/2020 23:07	4	0	0
Ohio	US	4/13/2020 23:07	5	0	0
Wisconsin	US	4/13/2020 23:07	2	0	0
Arkansas	US	4/13/2020 23:07	11	0	0
Ohio	US	4/13/2020 23:07	31	2	0
Washington	US	4/13/2020 23:07	5	0	0
Louisiana	US	4/13/2020 23:07	120	1	0
Texas	US	4/13/2020 23:07	9	0	0
Kansas	US	4/13/2020 23:07	3	0	0
Missouri	US	4/13/2020 23:07	1	0	0
Ohio	US	4/13/2020 23:07	3	1	0
Georgia	US	4/13/2020 23:07	2	0	0
New Jersey	US	4/13/2020 23:07	267	8	0
Oklahoma	US	4/13/2020 23:07	1	0	0
Mississippi	US	4/13/2020 23:07	20	0	0
Iowa	US	4/13/2020 23:07	1	0	0
Ohio	US	4/13/2020 23:07	14	1	0
Virginia	US	4/13/2020 23:07	17	0	0
South Dakota	US	4/13/2020 23:07	1	0	0
Texas	US	4/13/2020 23:07	11	0	0
Alabama	US	4/13/2020 23:07	19	1	0
Louisiana	US	4/13/2020 23:07	64	1	0
Colorado	US	4/13/2020 23:07	10	0	0
Georgia	US	4/13/2020 23:07	14	0	0
Florida	US	4/13/2020 23:07	17	2	0
Georgia	US	4/13/2020 23:07	16	2	0
Alabama	US	4/13/2020 23:07	72	1	0
Georgia	US	4/13/2020 23:07	53	2	0
Kentucky	US	4/13/2020 23:07	1	0	0
Maryland	US	4/13/2020 23:07	1361	31	0
Maryland	US	4/13/2020 23:07	873	26	0
South Carolina	US	4/13/2020 23:07	7	0	0
Texas	US	4/13/2020 23:07	2	0	0
Georgia	US	4/13/2020 23:07	7	0	0
Idaho	US	4/13/2020 23:07	5	0	0
Kansas	US	4/13/2020 23:07	1	0	0
Alabama	US	4/13/2020 23:07	10	0	0
West Virginia	US	4/13/2020 23:07	4	0	0
North Dakota	US	4/13/2020 23:07	2	0	0
Massachusetts	US	4/13/2020 23:07	502	16	0
South Carolina	US	4/13/2020 23:07	5	0	0
Kentucky	US	4/13/2020 23:07	5	0	0
Wisconsin	US	4/13/2020 23:07	6	0	0
Georgia	US	4/13/2020 23:07	55	3	0
Michigan	US	4/13/2020 23:07	11	0	0
Missouri	US	4/13/2020 23:07	2	0	0
Indiana	US	4/13/2020 23:07	110	4	0
Kansas	US	4/13/2020 23:07	4	0	0
Georgia	US	4/13/2020 23:07	216	16	0
Texas	US	4/13/2020 23:07	27	1	0
Missouri	US	4/13/2020 23:07	6	1	0
Kentucky	US	4/13/2020 23:07	2	0	0
Virginia	US	4/13/2020 23:07	0	0	0
Arkansas	US	4/13/2020 23:07	4	0	0
Florida	US	4/13/2020 23:07	38	1	0
Michigan	US	4/13/2020 23:07	59	2	0
Wisconsin	US	4/13/2020 23:07	3	0	0
