Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/5/2020 23:06	6	0	0
Louisiana	US	4/5/2020 23:06	75	2	0
Virginia	US	4/5/2020 23:06	11	0	0
Idaho	US	4/5/2020 23:06	385	3	0
Iowa	US	4/5/2020 23:06	1	0	0
Kentucky	US	4/5/2020 23:06	3	0	0
Missouri	US	4/5/2020 23:06	10	0	0
Oklahoma	US	4/5/2020 23:06	18	0	0
Colorado	US	4/5/2020 23:06	354	10	0
Idaho	US	4/5/2020 23:06	1	0	0
Illinois	US	4/5/2020 23:06	3	0	0
Indiana	US	4/5/2020 23:06	2	0	0
Mississippi	US	4/5/2020 23:06	19	0	0
Nebraska	US	4/5/2020 23:06	11	0	0
Ohio	US	4/5/2020 23:06	2	0	0
Pennsylvania	US	4/5/2020 23:06	22	0	0
Washington	US	4/5/2020 23:06	23	0	0
Wisconsin	US	4/5/2020 23:06	1	0	0
Vermont	US	4/5/2020 23:06	40	0	0
South Carolina	US	4/5/2020 23:06	27	1	0
Florida	US	4/5/2020 23:06	123	0	0
North Carolina	US	4/5/2020 23:06	19	0	0
California	US	4/5/2020 23:06	566	12	0
Colorado	US	4/5/2020 23:06	4	0	0
New York	US	4/5/2020 23:06	305	8	0
Wyoming	US	4/5/2020 23:06	4	0	0
Virginia	US	4/5/2020 23:06	32	0	0
Mississippi	US	4/5/2020 23:06	6	0	0
North Carolina	US	4/5/2020 23:06	2	0	0
Virginia	US	4/5/2020 23:06	74	0	0
Iowa	US	4/5/2020 23:06	17	1	0
Michigan	US	4/5/2020 23:06	14	0	0
Maryland	US	4/5/2020 23:06	6	0	0
New York	US	4/5/2020 23:06	16	1	0
North Carolina	US	4/5/2020 23:06	2	0	0
Virginia	US	4/5/2020 23:06	2	0	0
Pennsylvania	US	4/5/2020 23:06	605	4	0
Indiana	US	4/5/2020 23:06	63	2	0
Kentucky	US	4/5/2020 23:06	2	0	0
Louisiana	US	4/5/2020 23:06	40	5	0
Ohio	US	4/5/2020 23:06	18	0	0
South Carolina	US	4/5/2020 23:06	2	0	0
California	US	4/5/2020 23:06	1	0	0
California	US	4/5/2020 23:06	0	0	0
Virginia	US	4/5/2020 23:06	6	0	0
Virginia	US	4/5/2020 23:06	6	0	0
Mississippi	US	4/5/2020 23:06	6	1	0
Alaska	US	4/5/2020 23:06	85	1	0
Kansas	US	4/5/2020 23:06	0	0	0
Kentucky	US	4/5/2020 23:06	3	1	0
South Carolina	US	4/5/2020 23:06	69	3	0
Tennessee	US	4/5/2020 23:06	10	0	0
Texas	US	4/5/2020 23:06	1	0	0
Texas	US	4/5/2020 23:06	6	0	0
Maine	US	4/5/2020 23:06	20	0	0
Texas	US	4/5/2020 23:06	10	0	0
Maryland	US	4/5/2020 23:06	319	6	0
Minnesota	US	4/5/2020 23:06	36	0	0
North Carolina	US	4/5/2020 23:06	5	0	0
Nebraska	US	4/5/2020 23:06	1	0	0
Michigan	US	4/5/2020 23:06	4	0	0
Arizona	US	4/5/2020 23:06	45	0	0
Iowa	US	4/5/2020 23:06	1	1	0
Georgia	US	4/5/2020 23:06	5	0	0
Virginia	US	4/5/2020 23:06	0	0	0
Texas	US	4/5/2020 23:06	1	0	0
Colorado	US	4/5/2020 23:06	608	13	0
Colorado	US	4/5/2020 23:06	1	0	0
Michigan	US	4/5/2020 23:06	3	0	0
Arkansas	US	4/5/2020 23:06	1	0	0
Virginia	US	4/5/2020 23:06	181	2	0
Pennsylvania	US	4/5/2020 23:06	12	0	0
Maine	US	4/5/2020 23:06	1	0	0
Louisiana	US	4/5/2020 23:06	286	11	0
North Carolina	US	4/5/2020 23:06	1	0	0
Ohio	US	4/5/2020 23:06	3	0	0
Wisconsin	US	4/5/2020 23:06	1	0	0
Arkansas	US	4/5/2020 23:06	1	0	0
Ohio	US	4/5/2020 23:06	12	0	0
Washington	US	4/5/2020 23:06	2	0	0
Louisiana	US	4/5/2020 23:06	59	0	0
Texas	US	4/5/2020 23:06	2	0	0
Kansas	US	4/5/2020 23:06	2	0	0
Missouri	US	4/5/2020 23:06	1	0	0
Ohio	US	4/5/2020 23:06	3	1	0
New Jersey	US	4/5/2020 23:06	121	1	0
Oklahoma	US	4/5/2020 23:06	1	0	0
Mississippi	US	4/5/2020 23:06	15	0	0
Iowa	US	4/5/2020 23:06	1	0	0
Ohio	US	4/5/2020 23:06	6	0	0
Virginia	US	4/5/2020 23:06	8	0	0
South Dakota	US	4/5/2020 23:06	1	0	0
Texas	US	4/5/2020 23:06	5	0	0
Alabama	US	4/5/2020 23:06	12	0	0
Louisiana	US	4/5/2020 23:06	37	1	0
Colorado	US	4/5/2020 23:06	9	0	0
Georgia	US	4/5/2020 23:06	6	0	0
Florida	US	4/5/2020 23:06	12	0	0
Georgia	US	4/5/2020 23:06	5	1	0
Alabama	US	4/5/2020 23:06	29	1	0
Georgia	US	4/5/2020 23:06	14	1	0
Maryland	US	4/5/2020 23:06	590	6	0
Maryland	US	4/5/2020 23:06	394	7	0
South Carolina	US	4/5/2020 23:06	5	0	0
Georgia	US	4/5/2020 23:06	3	0	0
Idaho	US	4/5/2020 23:06	5	0	0
Alabama	US	4/5/2020 23:06	2	0	0
West Virginia	US	4/5/2020 23:06	2	0	0
North Dakota	US	4/5/2020 23:06	2	0	0
Massachusetts	US	4/5/2020 23:06	347	6	0
South Carolina	US	4/5/2020 23:06	3	0	0
Kentucky	US	4/5/2020 23:06	0	0	0
Wisconsin	US	4/5/2020 23:06	4	0	0
Georgia	US	4/5/2020 23:06	25	2	0
Michigan	US	4/5/2020 23:06	6	0	0
Missouri	US	4/5/2020 23:06	1	0	0
Indiana	US	4/5/2020 23:06	54	0	0
Kansas	US	4/5/2020 23:06	3	0	0
Georgia	US	4/5/2020 23:06	160	7	0
Texas	US	4/5/2020 23:06	10	0	0
Missouri	US	4/5/2020 23:06	3	0	0
Kentucky	US	4/5/2020 23:06	1	0	0
Virginia	US	4/5/2020 23:06	0	0	0
Arkansas	US	4/5/2020 23:06	1	0	0
Florida	US	4/5/2020 23:06	24	1	0
Michigan	US	4/5/2020 23:06	30	0	0
Wisconsin	US	4/5/2020 23:06	3	0	0
South Dakota	US	4/5/2020 23:06	21	1	0
North Carolina	US	4/5/2020 23:06	9	0	0
South Carolina	US	4/5/2020 23:06	156	4	0
Louisiana	US	4/5/2020 23:06	19	0	0
Pennsylvania	US	4/5/2020 23:06	84	6	0
Montana	US	4/5/2020 23:06	1	0	0
Oklahoma	US	4/5/2020 23:06	1	0	0
Pennsylvania	US	4/5/2020 23:06	4	0	0
Tennessee	US	4/5/2020 23:06	8	0	0
Virginia	US	4/5/2020 23:06	4	0	0
New Hampshire	US	4/5/2020 23:06	17	0	0
Texas	US	4/5/2020 23:06	58	1	0
Ohio	US	4/5/2020 23:06	20	0	0
Minnesota	US	4/5/2020 23:06	6	0	0
Georgia	US	4/5/2020 23:06	4	0	0
Vermont	US	4/5/2020 23:06	24	0	0
Arkansas	US	4/5/2020 23:06	43	0	0
Indiana	US	4/5/2020 23:06	0	0	0
Iowa	US	4/5/2020 23:06	9	0	0
Minnesota	US	4/5/2020 23:06	1	0	0
Mississippi	US	4/5/2020 23:06	5	0	0
Missouri	US	4/5/2020 23:06	3	0	0
Oregon	US	4/5/2020 23:06	19	1	0
Tennessee	US	4/5/2020 23:06	4	0	0
Washington	US	4/5/2020 23:06	164	13	0
