Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/9/2020 23:02	7	0	0
Louisiana	US	4/9/2020 23:02	89	3	0
Virginia	US	4/9/2020 23:02	11	0	0
Idaho	US	4/9/2020 23:02	447	5	0
Iowa	US	4/9/2020 23:02	1	0	0
Kentucky	US	4/9/2020 23:02	6	0	0
Missouri	US	4/9/2020 23:02	11	0	0
Oklahoma	US	4/9/2020 23:02	25	2	0
Colorado	US	4/9/2020 23:02	417	14	0
Idaho	US	4/9/2020 23:02	1	0	0
Illinois	US	4/9/2020 23:02	1	0	0
Indiana	US	4/9/2020 23:02	2	0	0
Mississippi	US	4/9/2020 23:02	27	1	0
Nebraska	US	4/9/2020 23:02	28	0	0
Ohio	US	4/9/2020 23:02	3	0	0
Pennsylvania	US	4/9/2020 23:02	38	1	0
Washington	US	4/9/2020 23:02	30	0	0
Wisconsin	US	4/9/2020 23:02	2	0	0
Vermont	US	4/9/2020 23:02	50	0	0
South Carolina	US	4/9/2020 23:02	42	1	0
Florida	US	4/9/2020 23:02	150	0	0
North Carolina	US	4/9/2020 23:02	30	0	0
California	US	4/9/2020 23:02	674	16	0
Colorado	US	4/9/2020 23:02	5	0	0
New York	US	4/9/2020 23:02	379	11	0
Wyoming	US	4/9/2020 23:02	4	0	0
Virginia	US	4/9/2020 23:02	43	0	0
Mississippi	US	4/9/2020 23:02	6	0	0
North Carolina	US	4/9/2020 23:02	2	0	0
Virginia	US	4/9/2020 23:02	149	1	0
Iowa	US	4/9/2020 23:02	19	1	0
Michigan	US	4/9/2020 23:02	18	0	0
Maryland	US	4/9/2020 23:02	8	0	0
New York	US	4/9/2020 23:02	22	1	0
North Carolina	US	4/9/2020 23:02	2	0	0
Virginia	US	4/9/2020 23:02	2	0	0
Pennsylvania	US	4/9/2020 23:02	759	12	0
Indiana	US	4/9/2020 23:02	105	7	0
Kentucky	US	4/9/2020 23:02	3	0	0
Louisiana	US	4/9/2020 23:02	66	5	0
