Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/6/2020 23:22	6	0	0
Louisiana	US	4/6/2020 23:22	79	2	0
Virginia	US	4/6/2020 23:22	11	0	0
Idaho	US	4/6/2020 23:22	402	3	0
Iowa	US	4/6/2020 23:22	1	0	0
Kentucky	US	4/6/2020 23:22	3	0	0
Missouri	US	4/6/2020 23:22	10	0	0
Oklahoma	US	4/6/2020 23:22	20	0	0
Colorado	US	4/6/2020 23:22	367	12	0
Idaho	US	4/6/2020 23:22	1	0	0
Illinois	US	4/6/2020 23:22	8	0	0
Indiana	US	4/6/2020 23:22	2	0	0
Mississippi	US	4/6/2020 23:22	19	0	0
Nebraska	US	4/6/2020 23:22	13	0	0
Ohio	US	4/6/2020 23:22	2	0	0
Pennsylvania	US	4/6/2020 23:22	25	0	0
Washington	US	4/6/2020 23:22	26	0	0
Wisconsin	US	4/6/2020 23:22	2	0	0
Vermont	US	4/6/2020 23:22	40	0	0
South Carolina	US	4/6/2020 23:22	27	1	0
Florida	US	4/6/2020 23:22	131	0	0
North Carolina	US	4/6/2020 23:22	20	0	0
California	US	4/6/2020 23:22	588	13	0
Colorado	US	4/6/2020 23:22	4	0	0
New York	US	4/6/2020 23:22	319	8	0
Wyoming	US	4/6/2020 23:22	4	0	0
Virginia	US	4/6/2020 23:22	34	0	0
Mississippi	US	4/6/2020 23:22	6	0	0
North Carolina	US	4/6/2020 23:22	2	0	0
Virginia	US	4/6/2020 23:22	93	0	0
Iowa	US	4/6/2020 23:22	18	1	0
Michigan	US	4/6/2020 23:22	15	0	0
Maryland	US	4/6/2020 23:22	6	0	0
New York	US	4/6/2020 23:22	17	1	0
North Carolina	US	4/6/2020 23:22	2	0	0
Virginia	US	4/6/2020 23:22	2	0	0
Pennsylvania	US	4/6/2020 23:22	642	4	0
Indiana	US	4/6/2020 23:22	87	6	0
Kentucky	US	4/6/2020 23:22	2	0	0
Louisiana	US	4/6/2020 23:22	52	5	0
Ohio	US	4/6/2020 23:22	19	0	0
South Carolina	US	4/6/2020 23:22	2	0	0
