Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/2/2020 23:25	6	0	0
Louisiana	US	4/2/2020 23:25	61	1	0
Virginia	US	4/2/2020 23:25	10	0	0
Idaho	US	4/2/2020 23:25	312	3	0
Iowa	US	4/2/2020 23:25	1	0	0
Missouri	US	4/2/2020 23:25	6	0	0
Oklahoma	US	4/2/2020 23:25	9	0	0
Colorado	US	4/2/2020 23:25	212	2	0
Idaho	US	4/2/2020 23:25	1	0	0
Illinois	US	4/2/2020 23:25	2	0	0
Indiana	US	4/2/2020 23:25	1	0	0
Mississippi	US	4/2/2020 23:25	14	0	0
Nebraska	US	4/2/2020 23:25	6	0	0
Pennsylvania	US	4/2/2020 23:25	18	0	0
Washington	US	4/2/2020 23:25	20	0	0
Wisconsin	US	4/2/2020 23:25	1	0	0
Vermont	US	4/2/2020 23:25	26	0	0
South Carolina	US	4/2/2020 23:25	22	1	0
Florida	US	4/2/2020 23:25	95	0	0
North Carolina	US	4/2/2020 23:25	13	0	0
California	US	4/2/2020 23:25	359	8	0
Colorado	US	4/2/2020 23:25	4	0	0
New York	US	4/2/2020 23:25	253	2	0
Wyoming	US	4/2/2020 23:25	3	0	0
Virginia	US	4/2/2020 23:25	23	0	0
Mississippi	US	4/2/2020 23:25	3	0	0
North Carolina	US	4/2/2020 23:25	2	0	0
Virginia	US	4/2/2020 23:25	33	0	0
Iowa	US	4/2/2020 23:25	15	1	0
Michigan	US	4/2/2020 23:25	5	0	0
Maryland	US	4/2/2020 23:25	1	0	0
New York	US	4/2/2020 23:25	12	1	0
North Carolina	US	4/2/2020 23:25	2	0	0
Virginia	US	4/2/2020 23:25	2	0	0
Pennsylvania	US	4/2/2020 23:25	419	2	0
Indiana	US	4/2/2020 23:25	46	2	0
Kentucky	US	4/2/2020 23:25	2	0	0
Louisiana	US	4/2/2020 23:25	26	3	0
Ohio	US	4/2/2020 23:25	10	0	0
South Carolina	US	4/2/2020 23:25	1	0	0
California	US	4/2/2020 23:25	1	0	0
California	US	4/2/2020 23:25	3	0	0
Virginia	US	4/2/2020 23:25	4	0	0
Virginia	US	4/2/2020 23:25	6	0	0
Mississippi	US	4/2/2020 23:25	4	1	0
Alaska	US	4/2/2020 23:25	67	1	0
Kansas	US	4/2/2020 23:25	1	0	0
Kentucky	US	4/2/2020 23:25	2	1	0
South Carolina	US	4/2/2020 23:25	57	3	0
Tennessee	US	4/2/2020 23:25	10	0	0
Texas	US	4/2/2020 23:25	1	0	0
Texas	US	4/2/2020 23:25	0	0	0
Maine	US	4/2/2020 23:25	12	0	0
Texas	US	4/2/2020 23:25	5	0	0
Maryland	US	4/2/2020 23:25	206	3	0
Minnesota	US	4/2/2020 23:25	30	0	0
North Carolina	US	4/2/2020 23:25	1	0	0
Nebraska	US	4/2/2020 23:25	1	0	0
Michigan	US	4/2/2020 23:25	4	0	0
Arizona	US	4/2/2020 23:25	35	0	0
Iowa	US	4/2/2020 23:25	1	0	0
Georgia	US	4/2/2020 23:25	3	0	0
Texas	US	4/2/2020 23:25	0	0	0
Colorado	US	4/2/2020 23:25	381	7	0
Colorado	US	4/2/2020 23:25	1	0	0
