Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/1/2020 21:58	4	0	0
Louisiana	US	4/1/2020 21:58	47	1	0
Virginia	US	4/1/2020 21:58	7	0	0
Idaho	US	4/1/2020 21:58	195	3	0
Iowa	US	4/1/2020 21:58	1	0	0
Missouri	US	4/1/2020 21:58	3	0	0
Oklahoma	US	4/1/2020 21:58	8	0	0
Colorado	US	4/1/2020 21:58	181	2	0
Illinois	US	4/1/2020 21:58	2	0	0
Indiana	US	4/1/2020 21:58	1	0	0
Mississippi	US	4/1/2020 21:58	11	0	0
Nebraska	US	4/1/2020 21:58	4	0	0
Pennsylvania	US	4/1/2020 21:58	12	0	0
Washington	US	4/1/2020 21:58	14	0	0
Vermont	US	4/1/2020 21:58	24	0	0
South Carolina	US	4/1/2020 21:58	18	1	0
Florida	US	4/1/2020 21:58	90	0	0
North Carolina	US	4/1/2020 21:58	7	0	0
California	US	4/1/2020 21:58	313	7	0
Colorado	US	4/1/2020 21:58	1	0	0
New York	US	4/1/2020 21:58	240	1	0
Wyoming	US	4/1/2020 21:58	3	0	0
Virginia	US	4/1/2020 21:58	21	0	0
Mississippi	US	4/1/2020 21:58	3	0	0
North Carolina	US	4/1/2020 21:58	2	0	0
Virginia	US	4/1/2020 21:58	32	0	0
Iowa	US	4/1/2020 21:58	7	1	0
Michigan	US	4/1/2020 21:58	5	0	0
New York	US	4/1/2020 21:58	10	1	0
North Carolina	US	4/1/2020 21:58	2	0	0
Virginia	US	4/1/2020 21:58	1	0	0
Pennsylvania	US	4/1/2020 21:58	356	2	0
Indiana	US	4/1/2020 21:58	39	2	0
Kentucky	US	4/1/2020 21:58	2	0	0
Louisiana	US	4/1/2020 21:58	19	0	0
Ohio	US	4/1/2020 21:58	6	0	0
South Carolina	US	4/1/2020 21:58	1	0	0
California	US	4/1/2020 21:58	1	0	0
California	US	4/1/2020 21:58	2	0	0
Virginia	US	4/1/2020 21:58	2	0	0
Virginia	US	4/1/2020 21:58	5	0	0
Mississippi	US	4/1/2020 21:58	4	1	0
Alaska	US	4/1/2020 21:58	65	1	0
Kentucky	US	4/1/2020 21:58	2	1	0
South Carolina	US	4/1/2020 21:58	47	2	0
Tennessee	US	4/1/2020 21:58	10	0	0
Texas	US	4/1/2020 21:58	1	0	0
Texas	US	4/1/2020 21:58	0	0	0
Maine	US	4/1/2020 21:58	11	0	0
Texas	US	4/1/2020 21:58	5	0	0
Maryland	US	4/1/2020 21:58	158	1	0
Minnesota	US	4/1/2020 21:58	26	0	0
North Carolina	US	4/1/2020 21:58	1	0	0
Nebraska	US	4/1/2020 21:58	1	0	0
Michigan	US	4/1/2020 21:58	4	0	0
Arizona	US	4/1/2020 21:58	33	0	0
Iowa	US	4/1/2020 21:58	1	0	0
Georgia	US	4/1/2020 21:58	1	0	0
Texas	US	4/1/2020 21:58	0	0	0
Colorado	US	4/1/2020 21:58	333	6	0
Colorado	US	4/1/2020 21:58	1	0	0
Michigan	US	4/1/2020 21:58	1	0	0
Arkansas	US	4/1/2020 21:58	1	0	0
Virginia	US	4/1/2020 21:58	119	2	0
Pennsylvania	US	4/1/2020 21:58	5	0	0
Louisiana	US	4/1/2020 21:58	189	5	0
Ohio	US	4/1/2020 21:58	2	0	0
Wisconsin	US	4/1/2020 21:58	1	0	0
Arkansas	US	4/1/2020 21:58	1	0	0
Ohio	US	4/1/2020 21:58	6	0	0
Louisiana	US	4/1/2020 21:58	25	0	0
Texas	US	4/1/2020 21:58	2	0	0
Kansas	US	4/1/2020 21:58	1	0	0
Missouri	US	4/1/2020 21:58	1	0	0
Ohio	US	4/1/2020 21:58	3	1	0
New Jersey	US	4/1/2020 21:58	40	0	0
Mississippi	US	4/1/2020 21:58	11	0	0
Iowa	US	4/1/2020 21:58	1	0	0
Ohio	US	4/1/2020 21:58	3	0	0
Virginia	US	4/1/2020 21:58	1	0	0
South Dakota	US	4/1/2020 21:58	1	0	0
Texas	US	4/1/2020 21:58	2	0	0
Alabama	US	4/1/2020 21:58	8	0	0
Louisiana	US	4/1/2020 21:58	31	2	0
Colorado	US	4/1/2020 21:58	3	0	0
Georgia	US	4/1/2020 21:58	6	0	0
Florida	US	4/1/2020 21:58	9	0	0
Georgia	US	4/1/2020 21:58	4	1	0
Alabama	US	4/1/2020 21:58	20	1	0
Georgia	US	4/1/2020 21:58	6	1	0
Maryland	US	4/1/2020 21:58	289	1	0
Maryland	US	4/1/2020 21:58	221	2	0
South Carolina	US	4/1/2020 21:58	4	0	0
Georgia	US	4/1/2020 21:58	3	0	0
Idaho	US	4/1/2020 21:58	4	0	0
West Virginia	US	4/1/2020 21:58	1	0	0
North Dakota	US	4/1/2020 21:58	2	0	0
Massachusetts	US	4/1/2020 21:58	255	3	0
South Carolina	US	4/1/2020 21:58	2	0	0
Kentucky	US	4/1/2020 21:58	1	0	0
Georgia	US	4/1/2020 21:58	20	2	0
Michigan	US	4/1/2020 21:58	2	0	0
Missouri	US	4/1/2020 21:58	1	0	0
Indiana	US	4/1/2020 21:58	13	0	0
Kansas	US	4/1/2020 21:58	1	0	0
Georgia	US	4/1/2020 21:58	144	4	0
Texas	US	4/1/2020 21:58	8	0	0
Missouri	US	4/1/2020 21:58	2	0	0
Arkansas	US	4/1/2020 21:58	1	0	0
Florida	US	4/1/2020 21:58	10	0	0
Michigan	US	4/1/2020 21:58	10	0	0
Wisconsin	US	4/1/2020 21:58	3	0	0
South Dakota	US	4/1/2020 21:58	21	1	0
North Carolina	US	4/1/2020 21:58	7	0	0
South Carolina	US	4/1/2020 21:58	101	2	0
Louisiana	US	4/1/2020 21:58	8	0	0
Pennsylvania	US	4/1/2020 21:58	54	2	0
Oklahoma	US	4/1/2020 21:58	1	0	0
Pennsylvania	US	4/1/2020 21:58	3	0	0
Tennessee	US	4/1/2020 21:58	4	0	0
Virginia	US	4/1/2020 21:58	3	0	0
New Hampshire	US	4/1/2020 21:58	12	0	0
Texas	US	4/1/2020 21:58	46	1	0
Ohio	US	4/1/2020 21:58	11	0	0
Minnesota	US	4/1/2020 21:58	4	0	0
Georgia	US	4/1/2020 21:58	3	0	0
Vermont	US	4/1/2020 21:58	18	0	0
Arkansas	US	4/1/2020 21:58	39	0	0
Indiana	US	4/1/2020 21:58	1	0	0
Iowa	US	4/1/2020 21:58	7	0	0
Minnesota	US	4/1/2020 21:58	1	0	0
Mississippi	US	4/1/2020 21:58	4	0	0
Missouri	US	4/1/2020 21:58	3	0	0
Oregon	US	4/1/2020 21:58	13	1	0
Tennessee	US	4/1/2020 21:58	4	0	0
Washington	US	4/1/2020 21:58	108	7	0
New Jersey	US	4/1/2020 21:58	3494	75	0
South Carolina	US	4/1/2020 21:58	18	0	0
West Virginia	US	4/1/2020 21:58	21	0	0
Pennsylvania	US	4/1/2020 21:58	151	0	0
Massachusetts	US	4/1/2020 21:58	183	4	0
New Mexico	US	4/1/2020 21:58	129	4	0
Georgia	US	4/1/2020 21:58	2	0	0
Michigan	US	4/1/2020 21:58	38	1	0
North Carolina	US	4/1/2020 21:58	6	0	0
Texas	US	4/1/2020 21:58	207	9	0
Alabama	US	4/1/2020 21:58	3	0	0
Georgia	US	4/1/2020 21:58	22	0	0
Louisiana	US	4/1/2020 21:58	6	1	0
Minnesota	US	4/1/2020 21:58	1	0	0
Idaho	US	4/1/2020 21:58	2	0	0
Iowa	US	4/1/2020 21:58	7	0	0
Idaho	US	4/1/2020 21:58	228	2	0
Pennsylvania	US	4/1/2020 21:58	4	0	0
Texas	US	4/1/2020 21:58	1	0	0
Georgia	US	4/1/2020 21:58	1	0	0
Tennessee	US	4/1/2020 21:58	2	0	0
Alabama	US	4/1/2020 21:58	5	0	0
Tennessee	US	4/1/2020 21:58	28	0	0
Minnesota	US	4/1/2020 21:58	9	0	0
Mississippi	US	4/1/2020 21:58	25	1	0
Missouri	US	4/1/2020 21:58	1	0	0
South Dakota	US	4/1/2020 21:58	1	0	0
Illinois	US	4/1/2020 21:58	2	0	0
Idaho	US	4/1/2020 21:58	1	0	0
Idaho	US	4/1/2020 21:58	2	0	0
Arkansas	US	4/1/2020 21:58	1	0	0
Indiana	US	4/1/2020 21:58	29	0	0
Iowa	US	4/1/2020 21:58	1	0	0
Kentucky	US	4/1/2020 21:58	8	0	0
Missouri	US	4/1/2020 21:58	66	1	0
Louisiana	US	4/1/2020 21:58	75	1	0
Virginia	US	4/1/2020 21:58	6	0	0
Colorado	US	4/1/2020 21:58	107	2	0
Kansas	US	4/1/2020 21:58	3	0	0
Kentucky	US	4/1/2020 21:58	2	1	0
Texas	US	4/1/2020 21:58	9	1	0
Utah	US	4/1/2020 21:58	7	0	0
Kentucky	US	4/1/2020 21:58	4	0	0
Kentucky	US	4/1/2020 21:58	4	0	0
Kentucky	US	4/1/2020 21:58	1	0	0
Florida	US	4/1/2020 21:58	3	0	0
Pennsylvania	US	4/1/2020 21:58	8	0	0
Arkansas	US	4/1/2020 21:58	4	0	0
Tennessee	US	4/1/2020 21:58	14	0	0
Michigan	US	4/1/2020 21:58	2	0	0
Texas	US	4/1/2020 21:58	95	1	0
Texas	US	4/1/2020 21:58	63	3	0
Kentucky	US	4/1/2020 21:58	2	0	0
Kentucky	US	4/1/2020 21:58	2	0	0
Florida	US	4/1/2020 21:58	38	0	0
Massachusetts	US	4/1/2020 21:58	366	3	0
Rhode Island	US	4/1/2020 21:58	18	0	0
Virginia	US	4/1/2020 21:58	1	0	0
Montana	US	4/1/2020 21:58	3	0	0
South Dakota	US	4/1/2020 21:58	2	0	0
Georgia	US	4/1/2020 21:58	2	0	0
New York	US	4/1/2020 21:58	42	3	0
Colorado	US	4/1/2020 21:58	20	1	0
Florida	US	4/1/2020 21:58	1232	12	0
Indiana	US	4/1/2020 21:58	3	0	0
Minnesota	US	4/1/2020 21:58	2	0	0
Ohio	US	4/1/2020 21:58	2	1	0
South Dakota	US	4/1/2020 21:58	4	0	0
Texas	US	4/1/2020 21:58	3	0	0
Wisconsin	US	4/1/2020 21:58	11	0	0
North Carolina	US	4/1/2020 21:58	16	0	0
Virginia	US	4/1/2020 21:58	1	0	0
Georgia	US	4/1/2020 21:58	8	1	0
Oklahoma	US	4/1/2020 21:58	1	0	0
Iowa	US	4/1/2020 21:58	2	0	0
Missouri	US	4/1/2020 21:58	5	0	0
Virginia	US	4/1/2020 21:58	2	0	0
Pennsylvania	US	4/1/2020 21:58	319	6	0
Nebraska	US	4/1/2020 21:58	7	1	0
Wisconsin	US	4/1/2020 21:58	1	0	0
Kentucky	US	4/1/2020 21:58	6	1	0
Georgia	US	4/1/2020 21:58	2	0	0
Alabama	US	4/1/2020 21:58	3	0	0
North Carolina	US	4/1/2020 21:58	22	1	0
