Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/11/2020 22:45	9	0	0
Louisiana	US	4/11/2020 22:45	98	4	0
Virginia	US	4/11/2020 22:45	15	0	0
Idaho	US	4/11/2020 22:45	513	6	0
Iowa	US	4/11/2020 22:45	1	0	0
Kentucky	US	4/11/2020 22:45	6	0	0
Missouri	US	4/11/2020 22:45	11	0	0
Oklahoma	US	4/11/2020 22:45	27	2	0
Colorado	US	4/11/2020 22:45	543	23	0
Idaho	US	4/11/2020 22:45	1	0	0
Illinois	US	4/11/2020 22:45	25	0	0
Indiana	US	4/11/2020 22:45	4	0	0
Mississippi	US	4/11/2020 22:45	49	1	0
Nebraska	US	4/11/2020 22:45	45	0	0
Ohio	US	4/11/2020 22:45	3	0	0
Pennsylvania	US	4/11/2020 22:45	44	1	0
Washington	US	4/11/2020 22:45	30	0	0
Wisconsin	US	4/11/2020 22:45	2	0	0
Vermont	US	4/11/2020 22:45	54	0	0
South Carolina	US	4/11/2020 22:45	50	1	0
Florida	US	4/11/2020 22:45	174	0	0
North Carolina	US	4/11/2020 22:45	34	0	0
California	US	4/11/2020 22:45	806	21	0
Colorado	US	4/11/2020 22:45	7	2	0
New York	US	4/11/2020 22:45	446	12	0
Wyoming	US	4/11/2020 22:45	5	0	0
Virginia	US	4/11/2020 22:45	46	0	0
Mississippi	US	4/11/2020 22:45	7	0	0
North Carolina	US	4/11/2020 22:45	2	0	0
Virginia	US	4/11/2020 22:45	188	1	0
Iowa	US	4/11/2020 22:45	21	1	0
Michigan	US	4/11/2020 22:45	19	0	0
Maryland	US	4/11/2020 22:45	11	0	0
New York	US	4/11/2020 22:45	26	1	0
North Carolina	US	4/11/2020 22:45	2	0	0
Virginia	US	4/11/2020 22:45	4	0	0
Pennsylvania	US	4/11/2020 22:45	836	19	0
Indiana	US	4/11/2020 22:45	136	10	0
Kentucky	US	4/11/2020 22:45	3	0	0
Louisiana	US	4/11/2020 22:45	71	7	0
Ohio	US	4/11/2020 22:45	27	1	0
South Carolina	US	4/11/2020 22:45	4	0	0
Michigan	US	4/11/2020 22:45	1	0	0
California	US	4/11/2020 22:45	2	0	0
California	US	4/11/2020 22:45	7	0	0
Virginia	US	4/11/2020 22:45	9	0	0
Virginia	US	4/11/2020 22:45	10	0	0
Mississippi	US	4/11/2020 22:45	11	1	0
Alaska	US	4/11/2020 22:45	121	4	0
Kansas	US	4/11/2020 22:45	1	0	0
Kentucky	US	4/11/2020 22:45	3	1	0
South Carolina	US	4/11/2020 22:45	102	5	0
Tennessee	US	4/11/2020 22:45	12	1	0
Texas	US	4/11/2020 22:45	3	0	0
Missouri	US	4/11/2020 22:45	1	0	0
Texas	US	4/11/2020 22:45	11	0	0
Maine	US	4/11/2020 22:45	27	0	0
Texas	US	4/11/2020 22:45	16	0	0
Maryland	US	4/11/2020 22:45	615	19	0
Minnesota	US	4/11/2020 22:45	58	0	0
North Carolina	US	4/11/2020 22:45	10	0	0
Nebraska	US	4/11/2020 22:45	1	0	0
Michigan	US	4/11/2020 22:45	7	0	0
Arizona	US	4/11/2020 22:45	66	0	0
Iowa	US	4/11/2020 22:45	1	1	0
Georgia	US	4/11/2020 22:45	9	0	0
Virginia	US	4/11/2020 22:45	7	0	0
Texas	US	4/11/2020 22:45	2	0	0
Colorado	US	4/11/2020 22:45	931	30	0
Colorado	US	4/11/2020 22:45	6	0	0
Michigan	US	4/11/2020 22:45	4	0	0
Arkansas	US	4/11/2020 22:45	2	0	0
Virginia	US	4/11/2020 22:45	349	2	0
Pennsylvania	US	4/11/2020 22:45	26	1	0
Maine	US	4/11/2020 22:45	2	0	0
Louisiana	US	4/11/2020 22:45	415	20	0
North Carolina	US	4/11/2020 22:45	4	0	0
Ohio	US	4/11/2020 22:45	5	0	0
Wisconsin	US	4/11/2020 22:45	1	0	0
Arkansas	US	4/11/2020 22:45	10	0	0
Ohio	US	4/11/2020 22:45	24	0	0
Washington	US	4/11/2020 22:45	4	0	0
Louisiana	US	4/11/2020 22:45	109	1	0
Texas	US	4/11/2020 22:45	8	0	0
Kansas	US	4/11/2020 22:45	3	0	0
Missouri	US	4/11/2020 22:45	1	0	0
Ohio	US	4/11/2020 22:45	3	1	0
Georgia	US	4/11/2020 22:45	2	0	0
New Jersey	US	4/11/2020 22:45	230	7	0
Oklahoma	US	4/11/2020 22:45	1	0	0
Mississippi	US	4/11/2020 22:45	18	0	0
Iowa	US	4/11/2020 22:45	1	0	0
Ohio	US	4/11/2020 22:45	14	1	0
Virginia	US	4/11/2020 22:45	17	0	0
South Dakota	US	4/11/2020 22:45	1	0	0
Texas	US	4/11/2020 22:45	8	0	0
Alabama	US	4/11/2020 22:45	19	1	0
Louisiana	US	4/11/2020 22:45	61	1	0
Colorado	US	4/11/2020 22:45	9	0	0
Georgia	US	4/11/2020 22:45	14	0	0
Florida	US	4/11/2020 22:45	17	2	0
Georgia	US	4/11/2020 22:45	12	2	0
Alabama	US	4/11/2020 22:45	66	1	0
Georgia	US	4/11/2020 22:45	44	1	0
Kentucky	US	4/11/2020 22:45	1	0	0
Maryland	US	4/11/2020 22:45	1173	26	0
Maryland	US	4/11/2020 22:45	756	22	0
South Carolina	US	4/11/2020 22:45	7	0	0
Texas	US	4/11/2020 22:45	2	0	0
Georgia	US	4/11/2020 22:45	7	0	0
Idaho	US	4/11/2020 22:45	5	0	0
Kansas	US	4/11/2020 22:45	1	0	0
Alabama	US	4/11/2020 22:45	9	0	0
West Virginia	US	4/11/2020 22:45	4	0	0
North Dakota	US	4/11/2020 22:45	2	0	0
Massachusetts	US	4/11/2020 22:45	480	15	0
South Carolina	US	4/11/2020 22:45	5	0	0
Kentucky	US	4/11/2020 22:45	1	0	0
Wisconsin	US	4/11/2020 22:45	6	0	0
Georgia	US	4/11/2020 22:45	51	3	0
Michigan	US	4/11/2020 22:45	8	0	0
Missouri	US	4/11/2020 22:45	2	0	0
Indiana	US	4/11/2020 22:45	108	4	0
Kansas	US	4/11/2020 22:45	4	0	0
Georgia	US	4/11/2020 22:45	209	15	0
