Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/15/2020 22:56	10	0	0
Louisiana	US	4/15/2020 22:56	105	5	0
Virginia	US	4/15/2020 22:56	15	0	0
Idaho	US	4/15/2020 22:56	538	9	0
Iowa	US	4/15/2020 22:56	1	0	0
Kentucky	US	4/15/2020 22:56	43	1	0
Missouri	US	4/15/2020 22:56	12	0	0
Oklahoma	US	4/15/2020 22:56	29	3	0
Colorado	US	4/15/2020 22:56	726	27	0
Idaho	US	4/15/2020 22:56	1	0	0
Illinois	US	4/15/2020 22:56	27	0	0
Indiana	US	4/15/2020 22:56	6	1	0
Mississippi	US	4/15/2020 22:56	64	3	0
Nebraska	US	4/15/2020 22:56	62	0	0
Ohio	US	4/15/2020 22:56	3	0	0
Pennsylvania	US	4/15/2020 22:56	64	1	0
Washington	US	4/15/2020 22:56	39	0	0
Wisconsin	US	4/15/2020 22:56	3	1	0
Vermont	US	4/15/2020 22:56	56	1	0
South Carolina	US	4/15/2020 22:56	60	3	0
Florida	US	4/15/2020 22:56	194	0	0
North Carolina	US	4/15/2020 22:56	43	0	0
California	US	4/15/2020 22:56	964	36	0
Colorado	US	4/15/2020 22:56	7	2	0
New York	US	4/15/2020 22:56	548	20	0
Wyoming	US	4/15/2020 22:56	5	0	0
Virginia	US	4/15/2020 22:56	53	0	0
Michigan	US	4/15/2020 22:56	1	0	0
Mississippi	US	4/15/2020 22:56	7	0	0
North Carolina	US	4/15/2020 22:56	3	0	0
Virginia	US	4/15/2020 22:56	254	1	0
Oklahoma	US	4/15/2020 22:56	1	0	0
Iowa	US	4/15/2020 22:56	24	2	0
Michigan	US	4/15/2020 22:56	25	0	0
Maryland	US	4/15/2020 22:56	17	1	0
New York	US	4/15/2020 22:56	28	1	0
North Carolina	US	4/15/2020 22:56	2	0	0
Virginia	US	4/15/2020 22:56	4	0	0
Pennsylvania	US	4/15/2020 22:56	904	26	0
Indiana	US	4/15/2020 22:56	180	15	0
Kentucky	US	4/15/2020 22:56	2	0	0
Louisiana	US	4/15/2020 22:56	74	8	0
Ohio	US	4/15/2020 22:56	51	4	0
South Carolina	US	4/15/2020 22:56	5	0	0
Michigan	US	4/15/2020 22:56	1	0	0
California	US	4/15/2020 22:56	2	0	0
California	US	4/15/2020 22:56	7	0	0
Virginia	US	4/15/2020 22:56	10	0	0
Virginia	US	4/15/2020 22:56	10	0	0
Mississippi	US	4/15/2020 22:56	15	1	0
Alaska	US	4/15/2020 22:56	139	4	0
Kansas	US	4/15/2020 22:56	0	0	0
Kentucky	US	4/15/2020 22:56	4	1	0
South Carolina	US	4/15/2020 22:56	114	5	0
Tennessee	US	4/15/2020 22:56	15	1	0
Texas	US	4/15/2020 22:56	6	0	0
Missouri	US	4/15/2020 22:56	1	0	0
Texas	US	4/15/2020 22:56	13	0	0
Maine	US	4/15/2020 22:56	31	1	0
Texas	US	4/15/2020 22:56	17	0	0
Maryland	US	4/15/2020 22:56	845	32	0
Minnesota	US	4/15/2020 22:56	76	0	0
North Carolina	US	4/15/2020 22:56	14	0	0
Nebraska	US	4/15/2020 22:56	1	0	0
Michigan	US	4/15/2020 22:56	9	0	0
Arizona	US	4/15/2020 22:56	110	0	0
Iowa	US	4/15/2020 22:56	1	1	0
Georgia	US	4/15/2020 22:56	14	0	0
Virginia	US	4/15/2020 22:56	7	0	0
Texas	US	4/15/2020 22:56	2	0	0
Colorado	US	4/15/2020 22:56	1183	43	0
Colorado	US	4/15/2020 22:56	6	0	0
Michigan	US	4/15/2020 22:56	7	0	0
Arkansas	US	4/15/2020 22:56	2	0	0
Virginia	US	4/15/2020 22:56	420	2	0
Pennsylvania	US	4/15/2020 22:56	29	1	0
Texas	US	4/15/2020 22:56	1	0	0
Maine	US	4/15/2020 22:56	2	0	0
Louisiana	US	4/15/2020 22:56	440	27	0
North Carolina	US	4/15/2020 22:56	4	0	0
Ohio	US	4/15/2020 22:56	6	0	0
Wisconsin	US	4/15/2020 22:56	2	0	0
Arkansas	US	4/15/2020 22:56	11	0	0
Ohio	US	4/15/2020 22:56	36	3	0
Washington	US	4/15/2020 22:56	6	0	0
Louisiana	US	4/15/2020 22:56	129	1	0
Texas	US	4/15/2020 22:56	9	0	0
Kansas	US	4/15/2020 22:56	3	0	0
Missouri	US	4/15/2020 22:56	2	0	0
Ohio	US	4/15/2020 22:56	3	1	0
Georgia	US	4/15/2020 22:56	2	0	0
New Jersey	US	4/15/2020 22:56	322	13	0
Oklahoma	US	4/15/2020 22:56	1	0	0
Mississippi	US	4/15/2020 22:56	25	0	0
Iowa	US	4/15/2020 22:56	1	0	0
Ohio	US	4/15/2020 22:56	18	1	0
Virginia	US	4/15/2020 22:56	18	0	0
South Dakota	US	4/15/2020 22:56	1	0	0
Texas	US	4/15/2020 22:56	12	0	0
Alabama	US	4/15/2020 22:56	24	1	0
Louisiana	US	4/15/2020 22:56	64	3	0
Colorado	US	4/15/2020 22:56	10	0	0
Georgia	US	4/15/2020 22:56	14	0	0
Florida	US	4/15/2020 22:56	17	2	0
Georgia	US	4/15/2020 22:56	16	2	0
Alabama	US	4/15/2020 22:56	91	2	0
Georgia	US	4/15/2020 22:56	90	2	0
Kentucky	US	4/15/2020 22:56	2	0	0
Maryland	US	4/15/2020 22:56	1485	41	0
Maryland	US	4/15/2020 22:56	1060	29	0
South Carolina	US	4/15/2020 22:56	7	0	0
Texas	US	4/15/2020 22:56	2	0	0
Georgia	US	4/15/2020 22:56	8	0	0
Idaho	US	4/15/2020 22:56	5	0	0
Kansas	US	4/15/2020 22:56	1	0	0
Alabama	US	4/15/2020 22:56	12	0	0
West Virginia	US	4/15/2020 22:56	4	0	0
North Dakota	US	4/15/2020 22:56	2	0	0
Massachusetts	US	4/15/2020 22:56	530	18	0
South Carolina	US	4/15/2020 22:56	5	0	0
Kentucky	US	4/15/2020 22:56	5	0	0
Wisconsin	US	4/15/2020 22:56	6	0	0
Georgia	US	4/15/2020 22:56	66	3	0
Michigan	US	4/15/2020 22:56	18	1	0
Missouri	US	4/15/2020 22:56	2	0	0
Indiana	US	4/15/2020 22:56	113	4	0
Kansas	US	4/15/2020 22:56	5	0	0
Georgia	US	4/15/2020 22:56	235	17	0
Texas	US	4/15/2020 22:56	32	1	0
Missouri	US	4/15/2020 22:56	6	1	0
Kentucky	US	4/15/2020 22:56	3	0	0
Virginia	US	4/15/2020 22:56	0	0	0
Arkansas	US	4/15/2020 22:56	4	0	0
Florida	US	4/15/2020 22:56	39	2	0
Michigan	US	4/15/2020 22:56	64	2	0
Wisconsin	US	4/15/2020 22:56	3	0	0
South Dakota	US	4/15/2020 22:56	21	2	0
North Carolina	US	4/15/2020 22:56	14	0	0
South Carolina	US	4/15/2020 22:56	205	7	0
Louisiana	US	4/15/2020 22:56	30	1	0
Oklahoma	US	4/15/2020 22:56	1	0	0
Pennsylvania	US	4/15/2020 22:56	158	14	0
Montana	US	4/15/2020 22:56	1	0	0
Minnesota	US	4/15/2020 22:56	1	0	0
Oklahoma	US	4/15/2020 22:56	2	0	0
Pennsylvania	US	4/15/2020 22:56	9	1	0
Tennessee	US	4/15/2020 22:56	25	2	0
Virginia	US	4/15/2020 22:56	16	0	0
Texas	US	4/15/2020 22:56	3	0	0
New Hampshire	US	4/15/2020 22:56	24	0	0
Texas	US	4/15/2020 22:56	110	3	0
Ohio	US	4/15/2020 22:56	58	3	0
Minnesota	US	4/15/2020 22:56	5	0	0
Georgia	US	4/15/2020 22:56	10	0	0
Vermont	US	4/15/2020 22:56	32	1	0
Arkansas	US	4/15/2020 22:56	62	0	0
Indiana	US	4/15/2020 22:56	3	0	0
Iowa	US	4/15/2020 22:56	19	1	0
Minnesota	US	4/15/2020 22:56	1	0	0
Mississippi	US	4/15/2020 22:56	5	0	0
Missouri	US	4/15/2020 22:56	3	0	0
Oregon	US	4/15/2020 22:56	25	3	0
Tennessee	US	4/15/2020 22:56	4	0	0
Washington	US	4/15/2020 22:56	266	29	0
Michigan	US	4/15/2020 22:56	0	0	0
New Jersey	US	4/15/2020 22:56	10848	608	0
South Carolina	US	4/15/2020 22:56	101	3	0
West Virginia	US	4/15/2020 22:56	99	0	0
Pennsylvania	US	4/15/2020 22:56	1335	28	0
Massachusetts	US	4/15/2020 22:56	370	21	0
New Mexico	US	4/15/2020 22:56	477	17	0
Georgia	US	4/15/2020 22:56	8	0	0
Michigan	US	4/15/2020 22:56	123	7	0
North Carolina	US	4/15/2020 22:56	16	1	0
Alaska	US	4/15/2020 22:56	1	0	0
Texas	US	4/15/2020 22:56	815	33	0
Alabama	US	4/15/2020 22:56	18	0	0
Georgia	US	4/15/2020 22:56	95	1	0
Louisiana	US	4/15/2020 22:56	42	7	0
Montana	US	4/15/2020 22:56	2	0	0
Wyoming	US	4/15/2020 22:56	1	0	0
Minnesota	US	4/15/2020 22:56	1	0	0
Idaho	US	4/15/2020 22:56	2	0	0
Iowa	US	4/15/2020 22:56	85	0	0
Indiana	US	4/15/2020 22:56	6	1	0
North Carolina	US	4/15/2020 22:56	2	0	0
Idaho	US	4/15/2020 22:56	458	5	0
Pennsylvania	US	4/15/2020 22:56	12	0	0
Texas	US	4/15/2020 22:56	4	0	0
Virginia	US	4/15/2020 22:56	0	0	0
Georgia	US	4/15/2020 22:56	3	0	0
Tennessee	US	4/15/2020 22:56	8	0	0
Alabama	US	4/15/2020 22:56	17	0	0
Tennessee	US	4/15/2020 22:56	47	3	0
Minnesota	US	4/15/2020 22:56	23	0	0
Mississippi	US	4/15/2020 22:56	70	5	0
Missouri	US	4/15/2020 22:56	3	0	0
South Dakota	US	4/15/2020 22:56	4	0	0
Illinois	US	4/15/2020 22:56	4	0	0
Idaho	US	4/15/2020 22:56	4	0	0
Idaho	US	4/15/2020 22:56	16	0	0
Arkansas	US	4/15/2020 22:56	3	0	0
Illinois	US	4/15/2020 22:56	16	1	0
Indiana	US	4/15/2020 22:56	129	4	0
Iowa	US	4/15/2020 22:56	4	0	0
Kentucky	US	4/15/2020 22:56	56	2	0
Missouri	US	4/15/2020 22:56	87	1	0
West Virginia	US	4/15/2020 22:56	1	0	0
Texas	US	4/15/2020 22:56	1	0	0
Louisiana	US	4/15/2020 22:56	211	11	0
Virginia	US	4/15/2020 22:56	23	0	0
Colorado	US	4/15/2020 22:56	299	15	0
Idaho	US	4/15/2020 22:56	0	0	0
Kansas	US	4/15/2020 22:56	7	1	0
Kentucky	US	4/15/2020 22:56	4	1	0
Texas	US	4/15/2020 22:56	37	1	0
North Dakota	US	4/15/2020 22:56	1	0	0
Nebraska	US	4/15/2020 22:56	1	0	0
Utah	US	4/15/2020 22:56	15	0	0
Kentucky	US	4/15/2020 22:56	24	2	0
Kentucky	US	4/15/2020 22:56	12	0	0
Kentucky	US	4/15/2020 22:56	5	0	0
Florida	US	4/15/2020 22:56	35	1	0
Pennsylvania	US	4/15/2020 22:56	19	0	0
Arkansas	US	4/15/2020 22:56	7	0	0
Tennessee	US	4/15/2020 22:56	33	1	0
Michigan	US	4/15/2020 22:56	30	2	0
Georgia	US	4/15/2020 22:56	13	1	0
West Virginia	US	4/15/2020 22:56	1	0	0
Texas	US	4/15/2020 22:56	259	3	0
Texas	US	4/15/2020 22:56	149	13	0
Kentucky	US	4/15/2020 22:56	1	0	0
Kentucky	US	4/15/2020 22:56	3	0	0
Iowa	US	4/15/2020 22:56	9	0	0
Florida	US	4/15/2020 22:56	173	6	0
Massachusetts	US	4/15/2020 22:56	1508	56	0
Rhode Island	US	4/15/2020 22:56	49	0	0
Virginia	US	4/15/2020 22:56	1	0	0
Montana	US	4/15/2020 22:56	4	0	0
West Virginia	US	4/15/2020 22:56	3	0	0
South Dakota	US	4/15/2020 22:56	9	0	0
Georgia	US	4/15/2020 22:56	21	1	0
New York	US	4/15/2020 22:56	153	8	0
Colorado	US	4/15/2020 22:56	88	2	0
Florida	US	4/15/2020 22:56	3363	92	0
Indiana	US	4/15/2020 22:56	14	1	0
Minnesota	US	4/15/2020 22:56	7	1	0
Ohio	US	4/15/2020 22:56	8	1	0
South Dakota	US	4/15/2020 22:56	15	0	0
Texas	US	4/15/2020 22:56	11	1	0
Wisconsin	US	4/15/2020 22:56	114	1	0
South Dakota	US	4/15/2020 22:56	0	0	0
North Carolina	US	4/15/2020 22:56	35	1	0
Virginia	US	4/15/2020 22:56	9	0	0
Georgia	US	4/15/2020 22:56	30	2	0
Oklahoma	US	4/15/2020 22:56	5	0	0
