Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/7/2020 23:04	5	0	0
Louisiana	US	4/7/2020 23:04	82	2	0
Virginia	US	4/7/2020 23:04	11	0	0
Idaho	US	4/7/2020 23:04	419	3	0
Iowa	US	4/7/2020 23:04	1	0	0
Kentucky	US	4/7/2020 23:04	3	0	0
Missouri	US	4/7/2020 23:04	11	0	0
Oklahoma	US	4/7/2020 23:04	25	1	0
Colorado	US	4/7/2020 23:04	388	12	0
Idaho	US	4/7/2020 23:04	1	0	0
Illinois	US	4/7/2020 23:04	8	0	0
Indiana	US	4/7/2020 23:04	2	0	0
Mississippi	US	4/7/2020 23:04	24	0	0
Nebraska	US	4/7/2020 23:04	15	0	0
Ohio	US	4/7/2020 23:04	2	0	0
Pennsylvania	US	4/7/2020 23:04	28	0	0
Washington	US	4/7/2020 23:04	27	0	0
Wisconsin	US	4/7/2020 23:04	2	0	0
Vermont	US	4/7/2020 23:04	47	0	0
South Carolina	US	4/7/2020 23:04	28	1	0
Florida	US	4/7/2020 23:04	139	0	0
North Carolina	US	4/7/2020 23:04	24	0	0
California	US	4/7/2020 23:04	634	15	0
Colorado	US	4/7/2020 23:04	4	0	0
New York	US	4/7/2020 23:04	333	8	0
Wyoming	US	4/7/2020 23:04	4	0	0
Virginia	US	4/7/2020 23:04	38	0	0
Mississippi	US	4/7/2020 23:04	6	0	0
North Carolina	US	4/7/2020 23:04	2	0	0
Virginia	US	4/7/2020 23:04	126	0	0
Iowa	US	4/7/2020 23:04	17	1	0
Michigan	US	4/7/2020 23:04	18	0	0
Maryland	US	4/7/2020 23:04	7	0	0
New York	US	4/7/2020 23:04	17	1	0
North Carolina	US	4/7/2020 23:04	2	0	0
Virginia	US	4/7/2020 23:04	2	0	0
Pennsylvania	US	4/7/2020 23:04	689	6	0
Indiana	US	4/7/2020 23:04	90	6	0
Kentucky	US	4/7/2020 23:04	2	0	0
Louisiana	US	4/7/2020 23:04	58	5	0
Ohio	US	4/7/2020 23:04	22	1	0
South Carolina	US	4/7/2020 23:04	2	0	0
California	US	4/7/2020 23:04	1	0	0
California	US	4/7/2020 23:04	3	0	0
Virginia	US	4/7/2020 23:04	7	0	0
Virginia	US	4/7/2020 23:04	8	0	0
Mississippi	US	4/7/2020 23:04	7	1	0
Alaska	US	4/7/2020 23:04	98	4	0
Kansas	US	4/7/2020 23:04	0	0	0
Kentucky	US	4/7/2020 23:04	3	1	0
South Carolina	US	4/7/2020 23:04	75	4	0
Tennessee	US	4/7/2020 23:04	11	0	0
Texas	US	4/7/2020 23:04	2	0	0
Texas	US	4/7/2020 23:04	10	0	0
Maine	US	4/7/2020 23:04	23	0	0
Texas	US	4/7/2020 23:04	14	0	0
Maryland	US	4/7/2020 23:04	370	8	0
Minnesota	US	4/7/2020 23:04	42	0	0
North Carolina	US	4/7/2020 23:04	5	0	0
Nebraska	US	4/7/2020 23:04	1	0	0
Michigan	US	4/7/2020 23:04	6	0	0
Arizona	US	4/7/2020 23:04	65	0	0
Iowa	US	4/7/2020 23:04	1	1	0
Georgia	US	4/7/2020 23:04	6	0	0
Virginia	US	4/7/2020 23:04	3	0	0
Texas	US	4/7/2020 23:04	2	0	0
Colorado	US	4/7/2020 23:04	718	15	0
Colorado	US	4/7/2020 23:04	6	0	0
Michigan	US	4/7/2020 23:04	3	0	0
Arkansas	US	4/7/2020 23:04	1	0	0
Virginia	US	4/7/2020 23:04	237	2	0
Pennsylvania	US	4/7/2020 23:04	18	0	0
Maine	US	4/7/2020 23:04	2	0	0
Louisiana	US	4/7/2020 23:04	358	11	0
North Carolina	US	4/7/2020 23:04	2	0	0
Ohio	US	4/7/2020 23:04	3	0	0
Wisconsin	US	4/7/2020 23:04	1	0	0
Arkansas	US	4/7/2020 23:04	5	0	0
Ohio	US	4/7/2020 23:04	18	0	0
Washington	US	4/7/2020 23:04	4	0	0
Louisiana	US	4/7/2020 23:04	84	1	0
Texas	US	4/7/2020 23:04	4	0	0
Kansas	US	4/7/2020 23:04	2	0	0
Missouri	US	4/7/2020 23:04	1	0	0
Ohio	US	4/7/2020 23:04	3	1	0
Georgia	US	4/7/2020 23:04	4	0	0
New Jersey	US	4/7/2020 23:04	144	4	0
Oklahoma	US	4/7/2020 23:04	1	0	0
Mississippi	US	4/7/2020 23:04	15	0	0
Iowa	US	4/7/2020 23:04	1	0	0
