Province/State	Country/Region	Last Update	Confirmed	Deaths	Recovered
South Carolina	US	4/10/2020 22:54	7	0	0
Louisiana	US	4/10/2020 22:54	94	4	0
Virginia	US	4/10/2020 22:54	12	0	0
Idaho	US	4/10/2020 22:54	495	6	0
Iowa	US	4/10/2020 22:54	1	0	0
Kentucky	US	4/10/2020 22:54	6	0	0
Missouri	US	4/10/2020 22:54	11	0	0
Oklahoma	US	4/10/2020 22:54	26	2	0
Colorado	US	4/10/2020 22:54	475	14	0
Idaho	US	4/10/2020 22:54	1	0	0
Illinois	US	4/10/2020 22:54	24	0	0
Indiana	US	4/10/2020 22:54	4	0	0
Mississippi	US	4/10/2020 22:54	42	1	0
Nebraska	US	4/10/2020 22:54	38	0	0
Ohio	US	4/10/2020 22:54	3	0	0
Pennsylvania	US	4/10/2020 22:54	43	1	0
Washington	US	4/10/2020 22:54	30	0	0
Wisconsin	US	4/10/2020 22:54	2	0	0
Vermont	US	4/10/2020 22:54	50	0	0
South Carolina	US	4/10/2020 22:54	48	1	0
Florida	US	4/10/2020 22:54	167	0	0
North Carolina	US	4/10/2020 22:54	33	0	0
California	US	4/10/2020 22:54	766	20	0
Colorado	US	4/10/2020 22:54	5	0	0
New York	US	4/10/2020 22:54	426	11	0
Wyoming	US	4/10/2020 22:54	4	0	0
Virginia	US	4/10/2020 22:54	43	0	0
Mississippi	US	4/10/2020 22:54	7	0	0
North Carolina	US	4/10/2020 22:54	2	0	0
Virginia	US	4/10/2020 22:54	174	1	0
Iowa	US	4/10/2020 22:54	20	1	0
Michigan	US	4/10/2020 22:54	19	0	0
Maryland	US	4/10/2020 22:54	10	0	0
New York	US	4/10/2020 22:54	26	1	0
North Carolina	US	4/10/2020 22:54	2	0	0
Virginia	US	4/10/2020 22:54	2	0	0
Pennsylvania	US	4/10/2020 22:54	788	18	0
Indiana	US	4/10/2020 22:54	119	9	0
Kentucky	US	4/10/2020 22:54	3	0	0
Louisiana	US	4/10/2020 22:54	67	5	0
Ohio	US	4/10/2020 22:54	24	1	0
South Carolina	US	4/10/2020 22:54	4	0	0
California	US	4/10/2020 22:54	1	0	0
California	US	4/10/2020 22:54	7	0	0
Virginia	US	4/10/2020 22:54	9	0	0
Virginia	US	4/10/2020 22:54	9	0	0
Mississippi	US	4/10/2020 22:54	10	1	0
Alaska	US	4/10/2020 22:54	112	4	0
Kansas	US	4/10/2020 22:54	0	0	0
Kentucky	US	4/10/2020 22:54	3	1	0
South Carolina	US	4/10/2020 22:54	100	5	0
Tennessee	US	4/10/2020 22:54	11	1	0
Texas	US	4/10/2020 22:54	3	0	0
Texas	US	4/10/2020 22:54	11	0	0
Maine	US	4/10/2020 22:54	24	0	0
Texas	US	4/10/2020 22:54	16	0	0
Maryland	US	4/10/2020 22:54	554	16	0
Minnesota	US	4/10/2020 22:54	55	0	0
North Carolina	US	4/10/2020 22:54	9	0	0
Nebraska	US	4/10/2020 22:54	1	0	0
Michigan	US	4/10/2020 22:54	6	0	0
Arizona	US	4/10/2020 22:54	55	0	0
Iowa	US	4/10/2020 22:54	1	1	0
Georgia	US	4/10/2020 22:54	7	0	0
Virginia	US	4/10/2020 22:54	5	0	0
Texas	US	4/10/2020 22:54	2	0	0
Colorado	US	4/10/2020 22:54	877	19	0
Colorado	US	4/10/2020 22:54	6	0	0
Michigan	US	4/10/2020 22:54	4	0	0
Arkansas	US	4/10/2020 22:54	2	0	0
Virginia	US	4/10/2020 22:54	312	2	0
Pennsylvania	US	4/10/2020 22:54	22	0	0
Maine	US	4/10/2020 22:54	2	0	0
Louisiana	US	4/10/2020 22:54	397	19	0
North Carolina	US	4/10/2020 22:54	3	0	0
Ohio	US	4/10/2020 22:54	5	0	0
Wisconsin	US	4/10/2020 22:54	1	0	0
Arkansas	US	4/10/2020 22:54	9	0	0
Ohio	US	4/10/2020 22:54	19	0	0
Washington	US	4/10/2020 22:54	4	0	0
Louisiana	US	4/10/2020 22:54	105	1	0
Texas	US	4/10/2020 22:54	7	0	0
Kansas	US	4/10/2020 22:54	2	0	0
Missouri	US	4/10/2020 22:54	1	0	0
Ohio	US	4/10/2020 22:54	3	1	0
Georgia	US	4/10/2020 22:54	4	0	0
